Corrida,M_porcentaje,M_num,Performance_train,Size_tree,Num_leaves,Prof_Tree,Performance_test,Noise_Percentage
6,0.3,0.3,71.779744346116,80,110,8,75.4914809960681,11
7,0.35,0.35,72.7958046542117,126,167,8,74.9672346002621,11
8,0.4,0.4,73.0907899049492,151,196,8,75.2293577981651,11
9,0.45,0.45,76.204523107178,314,414,9,69.8558322411533,11
10,0.5,0.5,78.1710914454277,429,578,9,68.0209698558322,11
1,0.05,0.05,68.1743690593248,5,8,3,75.7536041939712,12
2,0.1,0.1,68.1743690593248,5,8,3,75.7536041939712,12
3,0.15,0.15,68.1743690593248,5,8,3,75.7536041939712,12
4,0.2,0.2,70.4686987872829,52,74,8,75.6225425950197,12
5,0.25,0.25,70.5998033431662,56,80,8,75.7536041939712,12
6,0.3,0.3,72.0091773189118,119,161,8,75.6225425950197,12
7,0.35,0.35,72.0091773189118,119,161,8,75.6225425950197,12
8,0.4,0.4,73.5496558505408,199,262,8,73.5255570117955,12
9,0.45,0.45,74.6968207145198,257,340,8,72.4770642201835,12
10,0.5,0.5,76.007866273353,334,451,8,70.6422018348624,12
1,0.05,0.05,67.1910848901999,5,8,3,75.7536041939712,13
2,0.1,0.1,67.1910848901999,5,8,3,75.7536041939712,13
3,0.15,0.15,67.1910848901999,5,8,3,75.7536041939712,13
4,0.2,0.2,68.2726974762373,23,32,6,76.8020969855832,13
5,0.25,0.25,70.5670272041953,89,122,9,76.2778505897772,13
6,0.3,0.3,71.4519829564077,124,170,9,76.4089121887287,13
